sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
6:7:24:31:94429,21.93,12.71,-165.13,0.29,0.53,1.11,1.26,0.92
6:7:24:32:94535,24.84,11.4,-160.39,0.41,0.47,1.15,1.31,1.17
6:7:24:32:94653,21.99,8.61,-139.18,0.03,0.4,1.14,1.21,1.26
6:7:24:32:94763,22.48,8.16,-137.96,0.13,0.45,1.2,1.29,1.27
6:7:24:32:94859,21.32,8.77,-143.24,0.43,0.31,1.28,1.38,1.29
6:7:24:32:94940,22.46,9.15,-149.77,0.28,0.16,0.9,0.95,1.21
6:7:24:32:95051,26.99,10.23,-153.78,0.15,0.22,0.49,0.56,0.96
6:7:24:32:95164,26.63,12.48,-158.79,0.12,0.35,0.73,0.82,0.78
6:7:24:32:95260,25.02,15.12,-160.83,0.36,0.49,1.0,1.17,0.85
6:7:24:33:95669,22.5,12.84,-144.53,0.06,0.11,0.55,0.57,0.85
6:7:24:33:95749,21.82,11.45,-140.67,0.15,0.37,1.0,1.08,0.94
6:7:24:33:95845,19.12,12.39,-139.95,0.26,0.34,1.12,1.2,0.95
6:7:24:33:95989,17.89,13.77,-141.93,0.43,0.22,1.29,1.37,1.22
6:7:24:33:96037,24.66,14.13,-141.56,0.37,0.18,0.83,0.93,1.17
6:7:24:33:96149,29.87,14.89,-142.87,0.21,0.24,0.54,0.63,0.98
6:7:24:33:96245,33.72,16.95,-145.64,0.08,0.4,0.58,0.71,0.76
6:7:24:34:96654,37.58,21.56,-145.8,0.57,0.58,0.72,1.09,0.81
6:7:24:34:96749,36.82,22.38,-141.48,0.24,0.27,0.27,0.45,0.75
6:7:24:34:96846,30.38,17.82,-143.27,0.13,0.37,0.79,0.88,0.81
6:7:24:34:96974,26.25,14.85,-145.52,0.25,0.51,1.24,1.36,0.9
6:7:24:34:97054,22.89,16.85,-149.26,0.31,0.47,1.26,1.38,1.21
6:7:24:34:97149,22.25,22.27,-153.36,0.42,0.19,0.73,0.86,1.2
6:7:24:34:97245,21.14,25.32,-157.46,0.39,0.26,0.6,0.76,1.0
6:7:24:35:97656,29.89,23.34,-154.65,0.65,0.41,0.95,1.23,0.95
6:7:24:35:97800,30.63,24.76,-149.04,0.6,0.39,0.74,1.03,1.01
6:7:24:35:97864,28.61,22.6,-146.42,0.24,0.27,0.55,0.66,0.97
6:7:24:35:97945,26.26,19.47,-146.45,0.08,0.3,0.86,0.92,0.87
6:7:24:35:98072,24.7,16.54,-146.01,0.24,0.39,0.95,1.06,0.88
6:7:24:35:98167,23.69,15.45,-147.3,0.5,0.4,1.07,1.25,1.08
6:7:24:35:98247,23.02,16.39,-151.63,0.46,0.2,0.87,1.0,1.1
6:7:24:36:98654,28.37,17.48,-160.22,0.6,0.46,1.03,1.28,1.18
6:7:24:36:98750,31.54,18.88,-154.06,0.65,0.46,0.89,1.19,1.16
6:7:24:36:98863,29.23,23.35,-148.29,0.58,0.27,0.8,1.02,1.17
6:7:24:36:98958,26.19,23.25,-143.27,0.2,0.2,0.43,0.51,0.91
6:7:24:36:99070,24.83,19.06,-139.77,0.17,0.27,0.72,0.79,0.77
6:7:24:36:99151,26.13,17.19,-139.26,0.5,0.32,1.23,1.36,0.89
6:7:24:36:99247,28.18,15.88,-141.27,0.45,0.3,1.17,1.29,1.15
6:7:24:37:99646,36.52,22.13,-153.63,0.31,0.74,0.83,1.16,1.27
6:7:24:37:99774,35.64,21.33,-155.49,0.56,0.65,0.96,1.28,1.24
6:7:24:37:99854,37.45,21.1,-146.42,0.72,0.55,0.73,1.17,1.2
6:7:24:37:99951,34.11,23.36,-138.31,0.67,0.27,0.67,0.99,1.14
6:7:24:37:100047,33.57,20.88,-131.14,0.22,0.22,0.49,0.58,0.91
6:7:24:37:100142,31.15,17.63,-129.27,0.14,0.26,0.81,0.87,0.81
6:7:24:37:100254,29.05,13.7,-128.9,0.37,0.44,1.22,1.35,0.93
6:7:24:38:100647,23.19,10.67,-157.93,0.12,0.37,0.66,0.77,1.0
6:7:24:38:100743,27.73,4.01,-161.99,-0.1,0.53,0.97,1.1,1.07
6:7:24:38:100886,28.15,4.93,-162.13,0.33,0.57,1.18,1.35,1.08
6:7:24:38:100935,25.56,12.06,-157.2,0.46,0.45,0.91,1.11,1.19
6:7:24:38:101031,30.32,17.34,-148.81,0.41,0.31,0.69,0.86,1.11
6:7:24:38:101142,31.09,19.15,-145.09,0.27,0.22,0.5,0.61,0.86
6:7:24:38:101238,28.78,15.56,-145.05,0.18,0.36,0.85,0.94,0.8
6:7:24:39:101652,18.47,16.21,-153.41,0.14,0.18,0.52,0.57,0.7
6:7:24:39:101733,21.33,15.97,-151.93,0.1,0.22,0.65,0.69,0.73
6:7:24:39:101844,24.46,14.72,-151.41,0.33,0.43,1.05,1.18,0.81
6:7:24:39:101956,29.96,13.19,-148.22,0.29,0.6,1.03,1.23,1.03
6:7:24:39:102068,29.25,16.25,-144.77,0.44,0.39,0.73,0.94,1.11
6:7:24:39:102149,27.77,19.51,-142.13,0.46,0.19,0.7,0.86,1.01
6:7:24:39:102260,29.09,14.27,-138.79,0.16,0.18,0.48,0.54,0.78
6:7:24:40:102673,19.32,7.91,-152.53,0.26,0.16,0.76,0.82,0.74
