sysTime,serialLOG
6:7:23:52:54961,"%,1,6,86.38,30.37,-48.86,-0.35,0.87,0.25,0.97,0.78
"
6:7:23:52:55056,"%,1,6,77.50,35.45,-49.21,-0.26,1.03,0.49,1.17,0.91
"
6:7:23:52:55152,"%,1,6,73.52,41.51,-52.31,0.17,1.24,0.39,1.32,1.15
"
6:7:23:52:55249,"%,1,6,68.80,50.21,-50.22,0.43,0.83,0.23,0.96,1.15
"
6:7:23:52:55296,"%,3,2,4,1
"
6:7:23:52:55296,"%,4,1,3
"
6:7:23:52:55296,"%,7,1,0
"
6:7:23:53:55599,"%,2,6,37.2896232,127.0654983,70.00,12,1.22,314.04
"
6:7:23:53:55615,"%,5,2,374.96,229.11
"
6:7:23:53:55648,"%,1,6,59.68,60.57,-37.09,0.58,0.85,0.66,1.22,1.17
"
6:7:23:53:55743,"%,1,6,47.57,61.28,-46.18,0.78,0.78,1.01,1.50,1.23
"
6:7:23:53:55840,"%,1,6,41.05,63.08,-51.09,0.73,0.40,0.53,0.98,1.23
"
6:7:23:53:55984,"%,1,6,41.97,58.68,-57.39,0.51,0.38,0.34,0.72,1.07
"
6:7:23:53:56047,"%,1,6,47.25,53.33,-61.33,0.14,0.54,0.09,0.57,0.76
"
6:7:23:53:56144,"%,1,6,43.34,50.73,-69.68,0.43,0.85,0.48,1.07,0.78
"
6:7:23:53:56239,"%,1,6,42.60,48.19,-71.06,0.64,1.06,0.65,1.40,1.01
"
6:7:23:53:56287,"%,3,2,4,1
"
6:7:23:53:56303,"%,4,1,3
"
6:7:23:54:56619,"%,2,6,37.2896308,127.0654830,69.60,12,1.22,309.07
"
6:7:23:54:56620,"%,5,2,374.44,228.89
"
6:7:23:54:56667,"%,1,6,42.41,45.44,-49.25,0.25,0.55,0.58,0.84,1.10
"
6:7:23:54:56747,"%,1,6,39.33,42.54,-48.00,0.35,0.70,0.65,1.02,1.08
"
6:7:23:54:56843,"%,1,6,35.46,37.55,-51.99,0.38,0.76,0.83,1.19,1.02
"
6:7:23:54:57019,"%,1,6,32.03,34.23,-59.42,0.46,0.65,0.94,1.24,1.15
"
6:7:23:54:57051,"%,1,6,33.18,37.64,-63.41,0.39,0.56,0.45,0.81,1.08
"
6:7:23:54:57163,"%,1,6,34.59,40.50,-67.19,0.17,0.50,0.34,0.63,0.89
"
6:7:23:54:57244,"%,1,6,32.43,39.02,-74.72,0.30,0.70,0.67,1.02,0.82
"
6:7:23:54:57307,"%,3,2,4,1
"
6:7:23:54:57308,"%,4,1,3
"
6:7:23:55:57602,"%,2,6,37.2896347,127.0654754,69.40,12,1.27,301.99
"
6:7:23:55:57603,"%,5,2,374.18,228.78
"
6:7:23:55:57651,"%,1,6,41.91,38.20,-61.90,0.26,0.38,0.38,0.60,0.75
"
6:7:23:55:57778,"%,1,6,40.02,39.16,-59.72,0.14,0.50,0.57,0.78,0.80
"
6:7:23:55:57875,"%,1,6,40.42,40.69,-54.29,0.47,0.80,0.86,1.27,0.88
"
6:7:23:55:58002,"%,1,6,40.67,37.85,-51.57,0.46,0.79,0.77,1.19,1.08
"
6:7:23:55:58050,"%,1,6,34.68,34.46,-57.24,0.49,0.59,0.75,1.08,1.18
"
6:7:23:55:58145,"%,1,6,34.45,31.51,-63.34,0.54,0.80,0.73,1.21,1.16
"
6:7:23:55:58243,"%,1,6,33.83,31.19,-71.87,0.21,0.45,0.45,0.67,0.98
"
6:7:23:55:58290,"%,3,2,4,1
"
6:7:23:55:58306,"%,4,1,3
"
6:7:23:56:58617,"%,2,6,37.2896385,127.0654602,69.20,12,1.20,300.08
"
6:7:23:56:58618,"%,5,2,373.42,228.60
"
6:7:23:56:58664,"%,1,6,36.94,28.80,-76.38,0.38,0.81,0.44,0.99,0.96
"
6:7:23:56:58745,"%,1,6,38.45,31.32,-72.58,0.28,0.46,0.48,0.72,0.80
"
6:7:23:56:58858,"%,1,6,37.46,32.36,-66.13,0.09,0.42,0.46,0.63,0.78
"
6:7:23:56:58969,"%,1,6,36.05,33.89,-61.89,0.23,0.60,0.82,1.04,0.80
"
