gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:9:34:12:100856,37.28947,127.06554,66.5,0.03,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:13:101858,37.28947,127.06554,66.4,0.01,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:14:102859,37.28947,127.06554,66.4,0.0,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:15:103864,37.28947,127.06554,66.4,0.02,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:16:104896,37.28947,127.06554,66.5,0.02,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:17:105869,37.28947,127.06554,66.5,0.02,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:18:106874,37.28947,127.06554,66.5,0.05,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:19:107921,37.28947,127.06554,66.9,0.03,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:20:108898,37.28947,127.06554,67.0,0.02,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:21:109902,37.28947,127.06554,67.0,0.02,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:22:110896,37.28947,127.06554,67.4,0.05,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:23:111913,37.289467,127.06555,67.8,0.07,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:24:112872,37.289467,127.06555,67.6,0.01,244.15,316.19,44.95,72.04,,0
not defined yet,6:9:34:25:113885,37.28947,127.06554,67.3,0.02,244.15,316.19,44.95,72.04,,0
not defined yet,6:9:34:26:114897,37.28947,127.06554,66.9,0.01,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:27:115911,37.28947,127.06554,66.2,0.06,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:28:116863,37.28947,127.06554,66.6,0.32,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:29:117899,37.289467,127.06554,68.3,0.97,245.49,316.26,43.06,72.11,,0
not defined yet,6:9:34:30:118911,37.289467,127.06554,72.7,0.11,245.49,317.46,44.02,71.97,,0
not defined yet,6:9:34:31:119864,37.289463,127.06552,77.6,0.09,245.49,317.46,44.02,71.97,,0
not defined yet,6:9:34:32:120917,37.289463,127.06552,82.9,0.37,245.49,319.27,43.55,73.78,,0
not defined yet,6:9:34:33:121930,37.28946,127.06551,88.4,0.53,242.59,319.27,43.55,73.78,,0
not defined yet,6:9:34:34:122926,37.28946,127.06551,94.0,0.48,248.86,320.12,43.26,77.53,,0
not defined yet,6:9:34:35:123884,37.28946,127.06551,99.6,0.3,248.86,320.12,43.26,71.26,,0
not defined yet,6:9:34:36:124905,37.289455,127.0655,105.0,0.63,234.84,320.12,43.26,71.26,,0
not defined yet,6:9:34:37:125871,37.289444,127.06548,110.4,2.07,214.71,321.84,42.7,87.0,,0
not defined yet,6:9:34:38:126881,37.289433,127.065475,115.8,1.33,221.48,323.9,42.49,109.19,,0
not defined yet,6:9:34:39:127898,37.28943,127.065475,121.2,0.99,231.9,326.09,43.65,104.61,,0
not defined yet,6:9:34:40:128890,37.28943,127.06546,126.5,0.62,244.6,326.5,44.13,94.6,,0
not defined yet,6:9:34:41:129913,37.289433,127.065445,131.9,0.46,263.13,327.86,43.23,83.26,,0
not defined yet,6:9:34:42:130881,37.289433,127.065445,137.2,0.19,263.13,329.01,42.04,65.88,,0
not defined yet,6:9:34:43:131890,37.289433,127.065445,142.6,0.33,319.3,329.01,42.04,65.88,,0
not defined yet,6:9:34:44:132885,37.289433,127.06546,147.9,0.28,319.3,329.01,42.04,9.71,,0
not defined yet,6:9:34:45:133918,37.289433,127.06546,153.0,0.48,77.23,327.45,42.75,8.15,,0
not defined yet,6:9:34:46:134892,37.28943,127.06546,158.1,0.18,77.23,327.45,42.75,-109.78,,0
not defined yet,6:9:34:47:135927,37.289425,127.06546,163.0,0.29,109.46,327.86,43.23,-109.37,,0
not defined yet,6:9:34:48:136915,37.28942,127.06546,168.0,0.51,186.47,327.99,43.4,-141.47,,0
not defined yet,6:9:34:49:137919,37.289417,127.06546,173.3,0.31,186.47,328.39,43.88,141.92,,0
not defined yet,6:9:34:50:138878,37.289417,127.065445,178.8,0.27,186.47,328.39,43.88,141.92,,0
not defined yet,6:9:34:51:139937,37.289413,127.065445,184.3,0.28,190.22,329.91,43.18,143.44,,0
not defined yet,6:9:34:52:140899,37.28941,127.065445,189.6,0.67,186.49,329.91,43.18,139.69,,0
not defined yet,6:9:34:53:141918,37.289406,127.065445,194.8,0.33,192.76,330.41,43.84,143.92,,0
not defined yet,6:9:34:54:142925,37.2894,127.065445,199.6,0.72,182.94,331.01,44.67,138.25,,0
not defined yet,6:9:34:55:143949,37.289394,127.065445,204.0,0.39,186.49,331.59,45.5,148.65,,0
not defined yet,6:9:34:56:144968,37.28939,127.065445,208.3,0.37,186.49,331.59,45.5,145.1,,0
not defined yet,6:9:34:57:145888,37.28939,127.06544,212.3,0.56,191.82,331.93,46.0,145.44,,0
not defined yet,6:9:34:58:146914,37.289387,127.06544,216.3,0.35,212.42,332.79,45.86,140.97,,0
not defined yet,6:9:34:59:147916,37.28938,127.06544,220.1,1.23,211.06,332.79,45.86,120.37,,0
not defined yet,6:9:35:0:148881,37.289368,127.06542,224.1,1.56,206.09,333.11,46.36,122.05,,0
not defined yet,6:9:35:1:149930,37.289352,127.06542,228.0,2.09,176.57,335.69,47.66,129.6,,0
not defined yet,6:9:35:2:150898,37.28933,127.06542,232.2,2.4,170.54,336.15,48.53,159.58,,0
not defined yet,6:9:35:3:151912,37.28931,127.06544,235.3,2.26,171.71,337.44,51.14,166.9,,0
not defined yet,6:9:35:4:152915,37.289295,127.06544,236.3,0.96,174.05,337.35,54.46,165.64,,0
not defined yet,6:9:35:5:153902,37.28929,127.06544,236.4,0.19,174.05,337.8,55.52,163.75,,0
not defined yet,6:9:35:6:154953,37.28929,127.06544,236.4,0.19,174.05,337.95,55.87,163.9,,0
not defined yet,6:9:35:7:155904,37.28929,127.06544,236.4,0.2,174.05,337.95,55.87,163.9,,0
not defined yet,6:9:35:8:156928,37.28929,127.06544,236.5,0.24,174.05,337.95,55.87,163.9,,0
not defined yet,6:9:35:9:157914,37.28929,127.06544,236.5,0.44,163.97,337.95,55.87,163.9,,0
not defined yet,6:9:35:10:158916,37.28929,127.065445,236.5,0.58,123.5,337.95,55.87,173.98,,0
not defined yet,6:9:35:11:159886,37.28929,127.065445,236.4,0.59,116.86,337.24,55.95,-146.26,,0
not defined yet,6:9:35:12:160907,37.289288,127.06546,236.0,0.57,118.72,337.24,55.95,-139.62,,0
not defined yet,6:9:35:13:161971,37.289288,127.06546,231.2,0.75,73.12,336.13,56.83,-142.59,,0
not defined yet,6:9:35:14:162975,37.289288,127.065475,222.7,1.78,84.79,336.13,56.83,-96.99,,0
not defined yet,6:9:35:15:163951,37.289272,127.065475,206.5,0.83,247.01,334.97,57.57,-109.82,,0
