sysTime,roll,pitch,yaw,ax,ay,az
4:7:53:0:47950,1.82,32.69,-90.32,0.71,-0.05,0.92
4:7:53:0:48093,0.34,33.73,-79.24,0.82,0.24,0.91
4:7:53:0:48142,-0.65,33.53,-70.38,0.84,0.08,0.72
4:7:53:0:48237,-4.66,40.39,-65.22,0.7,0.26,0.35
4:7:53:0:48334,-7.47,48.27,-60.7,0.85,0.49,0.57
4:7:53:1:48429,-7.23,52.3,-60.19,0.59,0.34,0.49
4:7:53:1:48927,-3.84,71.93,-43.56,0.74,0.36,0.59
4:7:53:1:49038,-3.09,79.32,-42.27,0.78,0.07,0.49
4:7:53:1:49136,-13.8,78.7,-52.93,1.39,0.34,0.1
4:7:53:1:49231,-26.86,78.75,-66.13,1.13,0.27,0.37
4:7:53:1:49327,-125.61,86.61,-167.75,0.49,-0.05,-0.04
4:7:53:2:49423,-164.21,82.5,152.38,0.86,-0.12,0.21
4:7:53:2:49960,125.04,77.18,86.29,0.78,0.24,0.07
4:7:53:2:50057,121.09,78.97,83.09,0.93,0.27,0.25
4:7:53:2:50136,111.29,78.36,72.83,0.86,0.22,0.2
4:7:53:2:50248,100.46,83.48,57.52,1.18,0.2,-0.15
4:7:53:2:50344,-29.03,85.88,-77.93,1.23,-0.14,0.28
4:7:53:3:50424,176.25,89.43,126.6,0.85,0.09,-0.08
4:7:53:3:50933,102.38,80.35,54.51,0.98,0.54,-0.07
4:7:53:3:51029,85.07,77.18,39.64,1.15,0.58,0.13
4:7:53:3:51125,96.93,74.15,48.23,0.84,0.24,0.03
4:7:53:3:51253,105.28,71.88,55.42,0.87,0.25,0.09
4:7:53:3:51333,103.36,72.62,55.08,0.9,0.44,0.04
4:7:53:4:51445,98.34,73.15,50.5,0.91,0.31,0.13
4:7:53:4:51932,88.51,80.85,34.72,0.97,0.13,0.04
4:7:53:4:52044,87.68,81.13,33.52,0.96,0.18,0.01
4:7:53:4:52140,85.45,80.84,30.52,0.95,0.17,0.04
4:7:53:4:52236,81.08,80.95,24.43,0.87,0.18,0.04
4:7:53:5:52348,54.01,81.37,-5.33,0.8,0.19,0.12
4:7:53:5:52444,13.15,76.51,-51.57,0.86,0.09,0.3
4:7:53:5:52939,2.63,37.55,-88.83,0.58,-0.05,1.05
4:7:53:5:53035,3.69,34.32,-92.42,0.51,0.22,0.97
4:7:53:5:53131,3.1,31.87,-97.99,0.42,0.27,0.97
4:7:53:5:53243,2.36,28.27,-102.42,0.41,0.12,0.88
4:7:53:6:53356,2.72,27.26,-103.03,0.39,0.16,0.92
4:7:53:6:53435,2.75,26.94,-103.54,0.36,0.18,0.9
4:7:53:6:53936,-6.65,34.26,-121.6,0.49,-0.18,0.74
4:7:53:6:54032,-11.58,38.23,-129.56,0.42,-0.2,0.8
4:7:53:6:54128,-14.38,43.18,-132.36,0.52,-0.21,0.78
4:7:53:6:54256,-12.85,49.94,-129.19,0.52,-0.04,0.73
4:7:53:7:54351,-9.14,52.66,-127.47,0.63,-0.12,0.58
4:7:53:7:54448,-12.24,48.96,-129.31,0.81,-0.31,0.67
4:7:53:7:54954,-21.46,46.28,-118.19,0.85,-0.42,0.5
4:7:53:7:55050,-23.34,51.18,-111.75,0.69,-0.33,0.48
4:7:53:7:55147,-21.6,57.54,-102.01,0.75,-0.17,0.45
