sysTime,roll,pitch,yaw,ax,ay,az,root,ave
4:10:5:8:202520,-0.29,2.61,-145.6,-0.15,0.25,1.03,1.070467188,1.072399719
4:10:5:8:202632,-0.26,2.69,-145.63,0.1,-0.13,0.97,0.983768265,1.052168612
4:10:5:8:202712,-0.03,2.59,-145.67,0.11,0.13,1.07,1.083466658,1.045900704
4:10:5:8:202824,0.25,3.03,-145.71,-0.13,-0.06,0.98,0.990403958,1.019212961
4:10:5:9:202920,0.34,2.87,-145.77,-0.2,0.03,1.08,1.098772042,1.057547553
4:10:5:9:203445,0.39,3.42,-146.43,0.16,-0.03,1.03,1.042784733,1.043986911
4:10:5:9:203445,0.34,3.34,-146.62,0.1,-0.01,0.93,0.935414347,1.025657041
4:10:5:9:203509,0.19,3.37,-146.82,0.12,-0.06,0.93,0.939627586,0.972608889
4:10:5:9:203589,-0.12,3.7,-147.04,0.02,0.01,0.98,0.980255069,0.951765667
4:10:5:9:203717,-0.14,3.53,-147.19,0.03,0,1.08,1.080416586,1.000099747
4:10:5:9:203813,-0.12,3.19,-147.33,0.38,-0.1,1,1.074430081,1.045033912
4:10:5:10:204300,-0.82,2.18,-148.27,0.06,0.06,1.05,1.053422992,1.06942322
4:10:5:10:204556,-1.2,1.66,-148.18,0.1,-0.2,0.95,0.975961065,1.034604713
4:10:5:10:204573,-1.5,1.22,-147.72,-0.07,0.1,1.07,1.07694011,1.035441389
4:10:5:10:204716,-1.76,1.14,-147.18,0,-0.02,0.94,0.940212742,0.997704639
4:10:5:10:204732,-2.01,0.97,-146.59,-0.01,0.07,0.92,0.92271339,0.979955414
4:10:5:10:204796,-2.06,1.17,-146.12,-0.04,0.03,0.93,0.931343116,0.931423083
4:10:5:11:205315,-0.02,3.17,-146.02,-0.02,-0.13,1.06,1.068129206,0.974061904
4:10:5:11:205410,0.47,3.5,-146.1,0.03,0.03,1.04,1.040865025,1.013445782
4:10:5:11:205506,0.73,3.63,-146.09,0.27,-0.11,1.01,1.051237366,1.053410532
