sysTime,roll,pitch,yaw,ax,ay,az
4:23:52:3:562345,81.28,38.28,46.11,0.62,0.78,0.13
4:23:52:3:562457,81.35,38.06,46.18,0.62,0.77,0.12
4:23:52:3:562553,81.29,37.69,46.38,0.6,0.78,0.13
4:23:52:3:562649,81.58,37.16,46.72,0.6,0.79,0.11
4:23:52:4:562745,81.55,37.19,46.77,0.59,0.8,0.11
4:23:52:4:562841,81.39,37.54,46.5,0.6,0.78,0.13
4:23:52:4:563433,81.31,37.37,46.87,0.61,0.78,0.1
4:23:52:4:563544,81.27,37.39,46.94,0.59,0.79,0.13
4:23:52:4:563640,81.19,37.46,46.97,0.61,0.78,0.11
4:23:52:5:563752,80.99,37.87,46.76,0.6,0.79,0.12
4:23:52:5:563848,80.6,39.71,45.91,0.62,0.78,0.09
4:23:52:5:563944,79.14,43.47,43.81,0.7,0.69,0.15
4:23:52:5:564040,78.28,47.27,42.23,0.75,0.63,0.14
4:23:52:5:564248,77.09,51.81,39.44,0.79,0.58,0.14
4:23:52:5:564344,76.84,53.18,38.57,0.79,0.57,0.15
4:23:52:5:564440,76.27,55.21,37.33,0.82,0.54,0.15
4:23:52:5:564536,75.89,57.65,35.63,0.83,0.53,0.11
4:23:52:5:564648,74.44,60.45,33.13,0.88,0.4,0.21
4:23:52:6:564743,73.11,62.77,30.08,0.89,0.4,0.18
4:23:52:6:564855,72.3,65.01,27.9,0.92,0.35,0.16
4:23:52:6:565447,71.65,66.49,22.52,0.91,0.37,0.13
4:23:52:6:565558,71.8,66.16,22.17,0.91,0.36,0.16
4:23:52:6:565655,71.57,66.19,21.57,0.91,0.36,0.15
4:23:52:7:565750,71.1,66.2,20.86,0.9,0.36,0.15
4:23:52:7:565847,70.21,66.63,19.59,0.9,0.37,0.15
4:23:52:7:565943,68.56,67.67,17.26,0.95,0.3,0.17
4:23:52:7:566038,68.11,68.34,16.78,0.97,0.28,0.15
4:23:52:7:566231,65.92,68.98,12.65,0.96,0.27,0.18
4:23:52:7:566342,65.76,70.05,12.22,0.95,0.28,0.12
4:23:52:7:566438,64.92,70.36,11.22,0.9,0.28,0.17
4:23:52:7:566550,64.54,71.01,11.05,0.96,0.27,0.15
4:23:52:7:566647,63.75,71.79,10.72,0.97,0.21,0.15
4:23:52:8:566742,65.24,69.96,11.43,0.89,0.36,0.18
4:23:52:8:566853,64.34,70.09,10.95,0.93,0.3,0.15
4:23:52:8:567446,61.36,71.89,9.12,0.93,0.26,0.17
4:23:52:8:567541,59.68,71.98,7.94,0.94,0.23,0.21
4:23:52:8:567637,62.46,71.03,8.56,0.92,0.34,0.09
