sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
5:21:43:58:18498,2.43,-1.97,-120.31,-0.03,0.04,0.98,0.99,0.0
5:21:43:58:18594,2.43,-1.96,-120.32,-0.03,0.03,0.98,0.98,0.0
5:21:43:58:18690,2.43,-1.96,-120.32,-0.03,0.04,0.98,0.98,0.0
5:21:43:58:18802,2.43,-1.96,-120.35,-0.03,0.05,0.98,0.98,0.0
5:21:43:59:18994,2.43,-1.98,-120.4,-0.03,0.04,0.98,0.98,0.0
5:21:43:59:19089,2.43,-1.99,-120.41,-0.03,0.04,0.98,0.98,0.0
5:21:43:59:19202,2.44,-1.98,-120.43,-0.03,0.04,0.98,0.99,0.0
5:21:43:59:19297,2.43,-1.99,-120.43,-0.03,0.04,0.98,0.98,0.0
5:21:43:59:19393,2.43,-1.99,-120.43,-0.03,0.04,0.98,0.99,0.0
5:21:43:59:19504,2.44,-1.99,-120.45,-0.03,0.04,0.98,0.98,0.0
5:21:43:59:19602,2.45,-1.99,-120.48,-0.03,0.04,0.98,0.99,0.0
5:21:44:0:20192,2.44,-1.99,-120.52,-0.03,0.03,0.98,0.98,0.0
5:21:44:0:20304,2.44,-1.98,-120.53,-0.03,0.04,0.98,0.98,0.0
5:21:44:0:20401,2.44,-1.98,-120.56,-0.03,0.04,0.98,0.98,0.0
5:21:44:0:20496,2.44,-1.97,-120.55,-0.03,0.04,0.99,0.99,0.0
5:21:44:0:20593,2.43,-1.96,-120.54,-0.03,0.04,0.98,0.98,0.0
5:21:44:0:20703,2.44,-1.96,-120.55,-0.03,0.03,0.98,0.99,0.0
5:21:44:0:20800,2.44,-1.96,-120.56,-0.03,0.04,0.98,0.98,0.0
5:21:44:1:20992,2.44,-1.97,-120.55,-0.03,0.04,0.99,0.99,0.0
5:21:44:1:21104,2.44,-1.97,-120.57,-0.03,0.04,0.98,0.98,0.0
5:21:44:1:21201,2.44,-1.97,-120.58,-0.03,0.04,0.98,0.98,0.0
5:21:44:1:21296,2.45,-1.98,-120.59,-0.03,0.04,0.98,0.98,0.0
5:21:44:1:21391,2.45,-1.97,-120.6,-0.03,0.04,0.98,0.98,0.0
5:21:44:1:21504,2.45,-1.98,-120.61,-0.03,0.04,0.98,0.98,0.0
5:21:44:1:21600,2.45,-1.98,-120.6,-0.03,0.04,0.98,0.98,0.0
5:21:44:2:22191,2.44,-1.98,-120.62,-0.03,0.04,0.98,0.99,0.0
5:21:44:2:22303,2.44,-1.98,-120.62,-0.03,0.04,0.98,0.98,0.0
5:21:44:2:22399,2.44,-1.99,-120.62,-0.03,0.04,0.98,0.99,0.0
5:21:44:2:22496,2.44,-1.97,-120.56,-0.03,0.04,0.98,0.98,0.0
5:21:44:2:22593,2.43,-1.96,-120.52,-0.03,0.04,0.98,0.99,0.0
5:21:44:2:22702,2.43,-1.95,-120.49,-0.03,0.04,0.99,0.99,0.0
5:21:44:2:22799,2.43,-1.95,-120.49,-0.03,0.04,0.98,0.99,0.0
5:21:44:3:22991,2.42,-1.95,-120.45,-0.03,0.04,0.98,0.99,0.0
5:21:44:3:23103,2.41,-1.96,-120.43,-0.03,0.04,0.98,0.98,0.0
5:21:44:3:23198,2.41,-1.95,-120.41,-0.03,0.04,0.98,0.98,0.0
5:21:44:3:23295,2.41,-1.96,-120.42,-0.03,0.04,0.98,0.98,0.0
5:21:44:3:23391,2.41,-1.96,-120.41,-0.03,0.04,0.98,0.98,0.0
5:21:44:3:23503,2.42,-1.96,-120.41,-0.03,0.04,0.99,0.99,0.0
5:21:44:3:23598,2.42,-1.96,-120.41,-0.03,0.04,0.98,0.99,0.0
5:21:44:4:24191,2.44,-1.96,-120.41,-0.03,0.04,0.98,0.98,0.0
5:21:44:4:24301,2.43,-1.97,-120.42,-0.03,0.04,0.98,0.98,0.0
5:21:44:4:24397,2.44,-1.97,-120.43,-0.03,0.04,0.98,0.98,0.0
5:21:44:4:24493,2.44,-1.97,-120.44,-0.03,0.04,0.98,0.98,0.0
5:21:44:4:24604,2.44,-1.97,-120.44,-0.03,0.04,0.98,0.98,0.0
5:21:44:4:24701,2.44,-1.98,-120.44,-0.03,0.04,0.98,0.98,0.0
5:21:44:4:24798,2.44,-1.98,-120.47,-0.03,0.04,0.99,0.99,0.0
5:21:44:5:25004,2.43,-1.96,-120.45,-0.03,0.04,0.98,0.98,0.0
5:21:44:5:25101,2.44,-1.97,-120.44,-0.04,0.04,0.99,0.99,0.0
5:21:44:5:25196,2.44,-1.96,-120.43,-0.03,0.04,0.98,0.98,0.0
5:21:44:5:25293,2.43,-1.96,-120.41,-0.03,0.04,0.98,0.98,0.0
5:21:44:5:25404,2.43,-1.96,-120.4,-0.03,0.04,0.98,0.98,0.0
5:21:44:5:25500,2.43,-1.96,-120.42,-0.03,0.04,0.98,0.98,0.0
5:21:44:5:25596,2.43,-1.96,-120.41,-0.03,0.04,0.98,0.98,0.0
5:21:44:6:26203,2.43,-1.96,-120.38,-0.03,0.04,0.98,0.98,0.0
5:21:44:6:26301,2.43,-1.97,-120.42,-0.02,0.04,0.98,0.98,0.0
5:21:44:6:26397,2.44,-1.97,-120.41,-0.03,0.04,0.98,0.98,0.0
5:21:44:6:26493,2.43,-1.97,-120.4,-0.03,0.04,0.99,0.99,0.0
5:21:44:6:26603,2.43,-1.97,-120.39,-0.04,0.03,0.98,0.99,0.0
5:21:44:6:26700,2.43,-1.98,-120.41,-0.03,0.05,0.98,0.98,0.0
5:21:44:6:26795,2.43,-1.99,-120.41,-0.03,0.04,0.99,0.99,0.0
5:21:44:7:27003,2.43,-1.98,-120.43,-0.03,0.04,0.98,0.98,0.0
5:21:44:7:27099,2.43,-1.99,-120.44,-0.03,0.04,0.98,0.98,0.0
5:21:44:7:27195,2.43,-1.99,-120.46,-0.03,0.04,0.98,0.98,0.0
5:21:44:7:27291,2.43,-1.99,-120.48,-0.03,0.04,0.98,0.99,0.0
5:21:44:7:27402,2.44,-1.99,-120.5,-0.03,0.03,0.98,0.99,0.0
5:21:44:7:27498,2.43,-2.0,-120.51,-0.03,0.03,0.98,0.98,0.0
5:21:44:7:27596,2.44,-1.99,-120.51,-0.03,0.04,0.98,0.98,0.0
5:21:44:8:28202,2.46,-1.98,-120.51,-0.03,0.04,0.98,0.98,0.0
5:21:44:8:28299,2.45,-1.98,-120.49,-0.03,0.04,0.98,0.98,0.0
5:21:44:8:28394,2.45,-1.98,-120.47,-0.03,0.04,0.98,0.98,0.0
5:21:44:8:28491,2.45,-1.97,-120.43,-0.03,0.04,0.98,0.98,0.0
5:21:44:8:28602,2.44,-1.97,-120.41,-0.03,0.04,0.98,0.98,0.0
5:21:44:8:28698,2.43,-1.98,-120.38,-0.03,0.05,0.98,0.98,0.0
5:21:44:8:28794,2.44,-1.97,-120.37,-0.02,0.05,0.98,0.98,0.0
5:21:44:9:29002,2.69,-1.79,-122.81,-0.05,0.02,0.98,0.99,0.0
5:21:44:9:29099,2.5,-1.74,-123.5,-0.01,0.0,0.97,0.97,0.0
5:21:44:9:29193,2.48,-1.71,-123.98,-0.04,0.0,0.98,0.98,0.0
5:21:44:9:29304,2.5,-1.72,-123.58,-0.06,-0.02,0.9,0.91,0.0
5:21:44:9:29402,2.64,-1.62,-121.91,-0.06,0.17,0.95,0.96,0.0
5:21:44:9:29499,2.44,-1.63,-123.96,-0.04,0.03,0.98,0.98,0.0
5:21:44:9:29595,2.53,-1.68,-123.94,-0.05,0.12,0.98,0.99,0.0
5:21:44:10:30201,2.84,-1.54,-125.12,-0.03,0.01,0.99,0.99,0.0
5:21:44:10:30297,2.44,-1.59,-125.08,-0.07,0.03,0.98,0.98,0.0
5:21:44:10:30392,2.39,-1.68,-121.83,-0.03,0.08,0.98,0.98,0.0
5:21:44:10:30504,2.48,-1.69,-121.6,-0.06,0.05,0.99,0.99,0.0
5:21:44:10:30600,2.64,-1.62,-121.67,-0.05,0.08,0.96,0.97,0.0
5:21:44:10:30697,2.67,-1.54,-122.19,-0.0,0.04,0.98,0.98,0.0
5:21:44:10:30792,3.32,-1.59,-123.91,0.0,-0.02,1.07,1.07,0.33
5:21:44:11:31001,3.13,-1.95,-126.36,0.21,-0.07,0.99,1.01,0.67
5:21:44:11:31098,-14.24,-10.01,-121.49,-0.2,-0.24,0.41,0.51,0.67
