gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:10:13:16:169171,37.288994,127.06519,187.0,3.85,204.98,353.22,91.69,-179.66,,0
not defined yet,6:10:13:18:171064,37.288933,127.0651,182.0,6.04,231.69,354.31,95.5,149.33,,0
not defined yet,6:10:13:19:172042,37.288902,127.06505,180.3,5.12,236.23,359.24,102.25,127.55,,0
not defined yet,6:10:13:20:173055,37.288895,127.06501,178.1,4.24,255.74,1.84,105.33,125.61,,0
not defined yet,6:10:13:21:174037,37.288895,127.064964,175.9,4.35,275.66,3.66,106.06,107.92,,0
not defined yet,6:10:13:22:175027,37.2889,127.064926,174.5,2.94,280.03,5.83,106.58,90.17,,0
not defined yet,6:10:13:23:176039,37.288902,127.064896,172.7,1.38,275.83,7.65,106.79,87.62,,0
not defined yet,6:10:13:24:177062,37.28891,127.064896,170.1,1.02,301.22,9.13,106.62,93.3,,0
not defined yet,6:10:13:25:178115,37.28891,127.064896,168.7,0.23,301.22,9.18,106.06,67.96,,0
not defined yet,6:10:13:26:179077,37.2889,127.064896,166.9,1.69,207.57,9.18,106.06,67.96,,0
not defined yet,6:10:13:28:181021,37.288857,127.06491,162.8,2.9,170.43,9.08,107.18,161.51,,0
not defined yet,6:10:13:29:182039,37.28882,127.064896,160.7,5.28,196.17,8.04,111.3,-162.39,,0
not defined yet,6:10:13:30:183083,37.288765,127.06487,158.9,6.64,203.34,8.43,115.43,172.26,,0
not defined yet,6:10:13:31:184077,37.288727,127.06485,157.1,4.44,212.13,8.97,121.55,165.63,,0
not defined yet,6:10:13:32:185033,37.288704,127.064804,154.7,4.22,232.66,9.52,126.75,157.39,,0
not defined yet,6:10:13:33:186083,37.28869,127.06476,151.9,5.17,251.94,11.13,129.71,138.47,,0
not defined yet,6:10:13:34:187070,37.288677,127.06472,149.5,4.21,256.39,12.73,132.04,120.79,,0
not defined yet,6:10:13:35:188053,37.28867,127.06468,146.7,2.77,249.33,13.99,134.29,117.6,,0
not defined yet,6:10:13:36:189062,37.288666,127.064644,143.7,3.31,264.94,15.34,135.52,126.01,,0
not defined yet,6:10:13:37:190078,37.288662,127.064606,140.8,2.88,265.97,16.64,137.0,111.7,,0
not defined yet,6:10:13:38:191050,37.288666,127.064575,138.0,2.1,272.01,17.96,138.18,111.99,,0
not defined yet,6:10:13:39:192065,37.288673,127.06457,135.5,1.36,290.76,19.08,138.68,107.07,,0
not defined yet,6:10:13:40:193046,37.288673,127.06457,133.0,0.15,290.76,19.39,138.55,88.63,,0
